project_id,project_name,agency,state,prediction_month,evaluation_month,last_observed_month,original_completion_date,last_known_physical_progress,last_known_revised_completion_date,whether_in_completed_projects,whether_reappears_in_later_reports,suspected_exit_reason,confidence_or_evidence,final_resolution_status
N24001165,WIDENING TO 2 LANE WITH PAVED SHOULDERS FROM KM 34.00 TO 70.900 OF NH-150 UNDER EPC MODE IN THE STAT 11-2016 3/2017,MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2017-03,100.0,2021-10,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001166,WIDENING TWO LANE WITH PAVED SHOULDERS FROM FROM KM.56.00 TO 106.00 OF NH- 218 (218-KNT-2014-15-775) 3-2015 1/2016 {7/2024},MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2016-01,98.06,2024-07,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001168,ESTIMATE FOR WIDENING TWO LANE TO FOUR LANE FROM FROM KM.129.00 TO 144.00 OF NH-63 ANKOLA-GOOTY SECT 5-2018 5/2018,MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2018-05,100.0,2023-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001172,WIDENING TO TWO LANE WITH PAVED SHOULDER FROM KM 4.40 TO KM 56.00 OF NH-218 BIJAPURA-HUBLI SECTION U 1-2017 8/2017 {6/2022},MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2017-08,100.0,2022-06,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001173,CONSTRUCTION OF MAJOR BRIDGE AT KM 180.865 ACROSS RIVER KRISHNA ON NH-167 HAGARI ? JADERCELA SECTION 2-2017 5/2019 {10/2025},MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2019-05,60.0,2025-10,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001216,WIDENING TO 2 LANE WITH PAVED SHOULDERS AND GEOMETRIC IMPROVEMENT OF NH-114A FROM KM 141 TO KM 184 I 12-2016 9/2021 {12/2024},MoRTH,JHARKHAND COAL,2025-04,2025-07,2025-04,2021-09,90.1,2024-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001217,REHABILITATION AND UPGRADATION OF NH 43 KANKER TO BEDMA SECTION KM. 130 TO 180 1-2016 8/2016 {6/2025},MoRTH,"6,584.29 77.20 CHHATTISGARH COAL",2025-04,2025-07,2025-04,2016-08,60.41,2025-06,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001221,REHABILITATION AND UPGRADATION OF NH 78 FROM KM 373.505 TO 469.300 AMBIKAPUR TO PATHALGAON SECTION 1-2016 10/2016 {3/2025},MoRTH,"6,584.29 77.20 CHHATTISGARH COAL",2025-04,2025-07,2025-04,2016-10,100.0,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001222,REHABILITATION AND UPGRADATION OF NH 78 FROM KM 469.000 TO 531.000 PATTHALGAON TO KUNKURI 3-2016 7/2016 {12/2025},MoRTH,"6,584.29 77.20 CHHATTISGARH COAL",2025-04,2025-07,2025-04,2016-07,69.99,2025-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001244,CONSTRUCTION OF 2-LANING WITH HARD SHOULDERS OF ARROWA-KHUPA-HAYULIANG SECTION OF NH-113 FROM CH.68. 8-2020 4/2022,NHIDCL,ARUNACHAL PRADESH,2025-04,2025-07,2025-04,2022-04,81.06,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001259,UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER FROM KOHIMA TO MAO FROM KM 185.540 TO KM 9-2020 4/2022,NHIDCL,NAGALAND,2025-04,2025-07,2025-04,2022-04,74.23,2024-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001271,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B 6-2020 8/2022,PKG- 2B,MANIPUR,2025-04,2025-07,2025-04,2022-08,77.36,2025-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001272,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B 3-2020 6/2022,PKG- 4A,MANIPUR,2025-04,2025-07,2025-04,2022-06,69.89,2025-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001273,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B 7-2020 8/2022,PKG- 4B,MANIPUR,2025-04,2025-07,2025-04,2022-08,80.53,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001303,BALANCE WORK OF 4- LANING OF PATNA-GAYA-DOBHI SECTION (KM. 0.00 TO KM. 127.217) OF NH-83 IN THE STAT 10-2013 12/2020,NHAI,BIHAR CIVIL AVIATION,2025-04,2025-07,2025-04,2020-12,98.3,2024-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001309,KAILASHAHAR TO KHOWAI PKG-4,NHIDCL,TRIPURA,2025-04,2025-07,2025-04,2022-06,100.0,2023-10,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001317,2-LANING FROM JOLAIBARI - BELONIA,NHIDCL,TRIPURA,2025-04,2025-07,2025-04,2022-01,100.0,2025-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001322,CONSTRUCTION OF 2-LANE ROAD WITH PAVED SHOULDER (GREENFIELD ALIGNMENT) OF EXISTING STRETCH BETWEEN L,NHIDCL,TRIPURA,2025-04,2025-07,2025-04,2022-05,51.85,2023-10,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001325,CONSTRUCTION OF 2-LANE SPECIFICATION ROAD WITH PAVED SHOULDER AS REALIGNMENT,GREENFIELD ALIGNMENT,TRIPURA,2025-04,2025-07,2025-04,2023-05,47.56,2024-08,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001343,KARGIL-ZANSKR PACKAGE-1 3-2021 1/2023,NHIDCL,LADAKH,2025-04,2025-07,2025-04,2023-01,60.4,2024-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001353,IMPHAL - KHONGSANG PKG-2 3-2021 12/2022,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2022-12,50.79,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001356,DULTE- KWALKULH - CHAMPAI PKG.2 3-2021 12/2022,NHIDCL,MULTI STATE COAL,2025-04,2025-07,2025-04,2022-12,100.0,2024-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001361,RISHI BORDER- ROLEP- MENLA PKG- 2A,NHIDCL,SIKKIM,2025-04,2025-07,2025-04,2023-09,41.04,2025-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001363,MANU-SIMLUNG ( PKG 4),NHIDCL,TRIPURA,2025-04,2025-07,2025-04,2022-12,0.0,2025-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001366,DABOKA KATHKATI PACKAGE-5 3-2021 1/2023 {11/2024},NHIDCL,ASSAM,2025-04,2025-07,2025-04,2023-01,100.0,2024-11,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001370,WIDENING TO 2-LANE WITH PAVED SHOULDERS FROM KM 119/017 TO KM 161/300 ON NH 85 2-2017 9/2017,OLD NH 49,KERALA,2025-04,2025-07,2025-04,2017-09,100.0,2023-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001381,REHABILITATION AND UPGRADATION TO 2-LANE/2- LANE WITH PAVED SHOULDERS/4-LANE CONFIGURATION OF PAONTA 8-2020 4/2021 {4/2021},MoRTH,316.16 91.50 HIMACHAL PRADESH,2025-04,2025-07,2025-04,2021-04,,2021-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001382,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HEWNA- ASHYARI SECTION (KM 25.000 TO KM 50. 8-2020 3/2021 {3/2021},MoRTH,316.16 91.50 HIMACHAL PRADESH,2025-04,2025-07,2025-04,2021-03,90.94,2021-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001383,REHABILITATION AND UPGRADATION TO INTERMEDIATE LANE CONFIGURATION OF SHRI KYARI-GUMMA SECTION (KM 75 8-2020 4/2021 {4/2021},MoRTH,316.16 91.50 HIMACHAL PRADESH,2025-04,2025-07,2025-04,2021-04,100.0,2021-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001387,WIDENING TO 2-LANE WIH PAVED SHOULDER FROM KM. 544.20 TO 594.00 (HOSAMANE CROSS TO PANDAVAPURA) SECT 1-2017 9/2017,MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2017-09,100.0,2023-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001388,CONSTRUCTION OF MAJOR BRIDGE ACROSS SHARAVATHI BACKWATERS AND APPROCHES BETWEEN AMBARGODU AND KALASA 3-2019 12/2019,MoRTH,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2019-12,82.0,2024-11,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001397,GOHA-KHELLANI PKG-3 2-2021 3/2023,NHIDCL,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2023-03,100.0,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001401,IMPHAL - KHONGSANG PKG-3 7-2021 3/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-03,77.74,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001402,TAMENGLONG - MAHUR PKG-1 7-2021 3/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-03,100.0,2025-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001404,TAMENGLONG - MAHUR PKG-4 7-2021 3/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-03,100.0,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001405,CHURACHANPUR TUIVAI PKG-3 7-2021 10/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-10,78.46,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001408,CONSTRUCTION OF 2-LANE MAJOR BRIDGE INCLUDING APPROACHESOVER BRAHMAPUTRA BETWEEN MAJULI ON NORTH BAN 2-2021 7/2025 {7/2025},MoRTH,ASSAM,2025-04,2025-07,2025-04,2025-07,30.65,2025-07,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001424,CONSTRUCTION OF FOUR-LANE ELEVATED VIADUCT FROM KM.4+634 TO KM.6+345 ON NH- 24A INCLUDING RETAINING W 3-2021 9/2023 {1/2025},MoRTH,UTTAR PRADESH,2025-04,2025-07,2025-04,2023-09,100.0,2025-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001426,4L OF ADDAHOLE TO BANTWAL CROSS SECTION 3-2021 10/2021,NHAI,KARNATAKA CIVIL AVIATION,2025-04,2025-07,2025-04,2021-10,97.42,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001427,CONSTRUCTION OF ROB WITH APPROACHES IN LIEU OF L C NO 165 OF AHMEDABAD PALANPUR BETWEEN RAILWAY STAT 6-2020 4/2023,MoRTH,GUJARAT CIVIL AVIATION,2025-04,2025-07,2025-04,2023-04,93.0,2024-09,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001439,MARAM - PEREN PKG-3 8-2021 5/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-05,100.0,2024-10,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001448,UPGRADATION OF ADHALGAON- JAMKHED SECTION OF NH-548 D FROM KM 132/600 TO KM 195/375 TO TWO LANE WITH 11-2021 2/2022 {2/2022},MoRTH,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2022-02,87.88,2022-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001453,IMPHAL - KHONGSANG PKG-4 8-2021 12/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-12,69.38,2025-07,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001455,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDERS THIRUVAYARU BYPASS IN BETWEEN EXISTING KM.55/926 TO 62/6 2-2022 8/2022 {3/2025},MoRTH,TAMIL NADU CIVIL AVIATION,2025-04,2025-07,2025-04,2022-08,100.0,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001456,REHABILITATION AND UPGRADATION TO 2 LANE WITH PS OF RADHAITA TO PILIBHIT SECTION OF 46.130 KM 4-2020 2/2024 {1/2025},MoRTH,UTTAR PRADESH,2025-04,2025-07,2025-04,2024-02,100.0,2025-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001464,PROJECTS- REHABILITATION AND UPGRADATION OF NH-731A FROM KM 0.00 TO KM.35.00 3-2021 8/2023 {5/2025},MoRTH,UTTAR PRADESH,2025-04,2025-07,2025-04,2023-08,84.0,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001467,WIDENING TO EXISTING SINGRE/INTERMEDIATE RANE TO 2 LANE FROM KM 135 TO KM 147 AND FROM KM 156.00 TO 3-2021 2/2024,MoRTH,NAGALAND,2025-04,2025-07,2025-04,2024-02,100.0,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001468,REPANPALLI TO SIRONCHA 3-2022 6/2022 {6/2024},MoRTH,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2022-06,,2024-06,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001472,BALANCE WORKS OF FOUR LANING FROM RAMBAN KM 151.00 TO BANIHAL KM 187.00 OF NH-1A (NOW NH-44) WITH VA 9-2021 12/2023,NHAI,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2023-12,99.0,2024-06,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001480,WIDENING AND STRENGTHENING FROM KM 0.00 TO KM 15.089 OF NH-334A (PURKAJI-LAKSAR-HARIDWAR ROAD) TO TW 10-2021 4/2024 {3/2025},MoRTH,UTTAR PRADESH,2025-04,2025-07,2025-04,2024-04,100.0,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001488,DHARAMPURI-LONAND FROM KM. 117.00 TO 166.40 (PKG-IV) ON MOHOL-ALANDI SECTION 9-2021 9/2023,NHAI,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2023-09,96.2,2024-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001503,4L OF INDAPUR TO TONDLE (PKG-III) FROM KM.84.550 TO KM. 131.00 OF NH-965G (SAINT TUKARAM MARG) 9-2021 9/2023,NHAI,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2023-09,3.0,2025-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001505,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XII) [KM. 50.700 TO KM. 77.000] 3-2022 3/2024,MASVAN - GANJAD,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2024-03,78.13,2025-06,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001516,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 27 9-2020 2/2024,NHAI,GUJARAT CIVIL AVIATION,2025-04,2025-07,2025-04,2024-02,93.52,2025-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001523,6L ACCESS-CONTROLLED HIGHWAY FROM (GANESHPUR) TO(NEAR MOHAND) OF GANESHPUR ? DEHRADUN SECTION FROM K 3-2021 10/2023,NHAI,UTTAR PRADESH,2025-04,2025-07,2025-04,2023-10,98.85,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001524,6L OF ACCESS-CONTROLLED HIGHWAY FROM MOHAND TO DAAT KALI TUNNEL OF GANESHPUR ? DEHRADUN SECTION FROM 3-2021 10/2023,NHAI,UTTAR PRADESH,2025-04,2025-07,2025-04,2023-10,98.78,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001525,6L ACCESS-CONTROLLED HIGHWAY OF DAAT KALI TUNNEL - DEHRADUN OF GANESHPUR ? DEHRADUN SECTION FROM KM. 3-2021 3/2024,NHAI,UTTARAKHAND,2025-04,2025-07,2025-04,2024-03,99.99,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001529,44 LANE DIVIDED CARRIAGEWAY OF BARMER BYPASS OF NH-15 (NEW NH-68) IN THE STATE OF RAJASTHAN ON EPC M 12-2021 8/2024,MoRTH,RAJASTHAN CIVIL AVIATION,2025-04,2025-07,2025-04,2024-08,99.0,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001538,IMPHAL - KHONGSANG PKG-5 12-2021 5/2024,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2024-05,67.64,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001539,IMPHAL - KHONGSANG PKG-6 12-2021 2/2025,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2025-02,74.23,2025-09,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001540,AKASH BRIDGE - JESSAMI SECTION PKG-2 3-2022 2/2025,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2025-02,100.0,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001541,RANIKOR- MAHESHKHOLA- BAGHMARA PKG-2 11-2021 6/2024,NHIDCL,MEGHALAYA,2025-04,2025-07,2025-04,2024-06,96.93,2024-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001542,2 LANING FROM MANU-SIMLUNG PKG-2,NHIDCL,TRIPURA,2025-04,2025-07,2025-04,2025-01,49.17,2025-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001553,4L MEDINIPUR TO BALLUPUR FROM KM. 458.65 TO KM. 487.65 OF NH-07(PKG-2) 3-2022 2/2025,NHAI,UTTARAKHAND,2025-04,2025-07,2025-04,2025-02,81.2,2025-07,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001559,2L PS SRIGANGANAGAR TO RAISINGHNAGAR (DESIGN CHAINAGE -0.500 KM TO DESIGN CHAINAGE 101.000 KM) (PACK 9-2021 6/2024,NHAI,RAJASTHAN CIVIL AVIATION,2025-04,2025-07,2025-04,2024-06,99.5,2025-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001573,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-09) [JUNCTION WITH M 11-2019 12/2022,CH. 247.310 TO CH. 292.950,RAJASTHAN CIVIL AVIATION,2025-04,2025-07,2025-04,2022-12,99.9,2025-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001594,ELEVATED CORRIDOR IN RANCHI CITY FROM KM 0.00 TO KM 3.260 OF NH-75 INCLUDING DOWN RAMP ON NH-23 FROM 2-2022 1/2025,NHAI,JHARKHAND COAL,2025-04,2025-07,2025-04,2025-01,97.0,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001610,4L OF EXISTING 2/4L STRETCH FROM LONAND TO DIVE GHAT (KM 166.400 TO KM 220.900 ) OF MOHOL ? ALANDI S 1-2022 5/2024,NHAI,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2024-05,95.64,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001618,KATNI BYPASS FROM KM. 359.50 TO KM. 378.50 9-2019 9/2022 {2/2025},NHAI,MADHYA PRADESH,2025-04,2025-07,2025-04,2022-09,98.84,2025-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001623,BANIHAL BYPASS (DELINKED FROM SRINAGAR - BANIHAL) FROM KM. 187.00 TO KM. 189.350 1-2020 1/2024,NHAI,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2024-01,34.0,2025-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001624,CONSTRUCTION OF EMERGENCY LANDING FACILITY FROM KM. 246.60 TO KM. 249.70 ON SRINAGAR - BANIHAL SECTI 7-2019 10/2020,NHAI,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2020-10,100.0,2023-04,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001625,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF JULEKAL VILLAGE TO DINNEDEVARAPADU VILLAGE FROM KM 242.20 1-2022 1/2025 {7/2025},NHAI,TELANGANA COAL,2025-04,2025-07,2025-04,2025-01,46.5,2025-07,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001636,CONSTRUCTION OF FOUR/SIX LANE GREENFIELD LUDHIANA ? RUPNAGAR NATIONAL HIGHWAY NO. NH-205K UNDER BHAR 5-2021 12/2024,NHAI,PUNJAB,2025-04,2025-07,2025-04,2024-12,15.31,2026-10,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
N24001641,DELHI AMRITSAR KATRA EXPRESSWAY PHASE I SPUR III FROM JUNCTION WITH AMRITSAR JALANDHAR ROAD NH3 NEAR 3-2021 10/2024,NHAI,PUNJAB,2025-04,2025-07,2025-04,2024-10,26.3,2025-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
